Division,Product Name,Factory,Sales,Cost,Units,Gross_Profit,Gross Margin (%),Profit per Unit,Revenue Contribution (%),Profit Contribution (%),Margin Volatility,Risk Flag
Chocolate,Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,27874.8,8517.3,7743,19357.5,69.44444444444444,2.5,19.660097572618216,20.715881801487114,7.258249730387678e-15,Healthy
Chocolate,Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,28485.0,9874.8,7596,18610.2,65.33333333333333,2.45,20.090471657412067,19.916141211521918,2.963168044190564e-15,Healthy
Chocolate,Wonka Bar - Milk Chocolate,Wicked Choccy's,26867.75,9424.38,8267,17443.37,64.92307692307692,2.11,18.949825166699423,18.66743077048205,9.82771659335135e-15,Healthy
Chocolate,Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,23574.95,6755.0,6755,16819.95,71.34670487106017,2.49,16.627413192905273,18.000263262659082,0.0,Healthy
Chocolate,Wonka Bar - Fudge Mallows,Lot's O' Nuts,24890.4,8296.8,6914,16593.6,66.66666666666666,2.4,17.555200131355075,17.75802951110198,1.1087159600798116e-14,Healthy
Other,Lickable Wallpaper,Secret Factory,7860.0,3930.0,393,3930.0,50.0,10.0,5.543658319370155,4.205781504835044,0.0,Watchlist
Other,Wonka Gum,Secret Factory,597.5,286.8,478,310.7,52.0,0.65,0.4214167742778202,0.33250287876647533,2.095276217842427e-15,Watchlist
Sugar,Everlasting Gobstopper,Secret Factory,130.0,26.0,13,104.0,80.0,8.0,0.09168900528220357,0.11129803473354824,0.0,Healthy
Other,Kazookles,The Other Factory,1205.75,1113.0,371,92.75,7.6923076923076925,0.25,0.8504155239924381,0.09925858386092884,0.0,High Margin Risk
Sugar,Hair Toffee,The Other Factory,76.5,17.0,17,59.5,77.77777777777779,3.5,0.05395545310837364,0.06367531794852038,0.0,Healthy
Sugar,Fizzy Lifting Drinks,Sugar Shack,78.75,31.5,21,47.25,60.0,2.25,0.0555423781997964,0.050565693665001486,0.0,Healthy
Sugar,Laffy Taffy,Sugar Shack,53.73,20.25,27,33.480000000000004,62.31155778894474,1.2400000000000002,0.037895771183175365,0.03582940579691534,0.0,Healthy
Sugar,SweeTARTS,Sugar Shack,61.5,32.8,41,28.7,46.666666666666664,0.7,0.04337595249888861,0.030713976892815714,0.0,Watchlist
Sugar,Nerds,Sugar Shack,15.0,8.0,10,7.0,46.666666666666664,0.7,0.010579500609485027,0.007491213876296516,0.0,Watchlist
Sugar,Fun Dip,Sugar Shack,12.0,7.2,8,4.8,40.0,0.6,0.008463600487588022,0.005136832372317611,0.0,Watchlist
